ka,tesirũga,ywy,kris,ga,kr,k,kri,da,le,d,a,naa,jepy,enepy,opy,janepy,py,jepyt,enepyt,opyt,janepyt,pyt,nak
,,,,,,,,,,,amokãꞌẽ,,,,,,,,,,,,
,,,,,,,,,,,,,jepyrugawa,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyrugawa,,,,,,
,,,,,,,,,,,apiau,,,,,,,,,,,,
,,,,,,,,daviramũ,,,,,,,,,,,,,,,
,,,,,,,,,leviramũ,,,,,,,,,,,,,,
,,,,,,,,,,,amusipo,,,,,,,,,,,,
,,,,,,,,,,,,,,,opyrug,,,,,,,,
,,,,,,kupy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pyteripe,
,,ywyteripe,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyteripe,,,,,,
,,,,,,,,,,,apyga,,,,,,,,,,,,
,,,,,,,,,,,amuꞌat,,,,,,,,,,,,
,,,,,,,,,,,atawer,,,,,,,,,,,,
kaneeku,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kaneeku,,,,,,,,,,,,,,,,,
,,,,,,,,,,,apirei,,,,,,,,,,,,
,,,,,,kwea,,,,,,,,,,,,,,,,,
kauta,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyykawe,,,,,,
,,,,,,kaꞌaꞌi,,,,,,,,,,,,,,,,,
kaꞌaꞌia,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kaꞌaꞌia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyykawa,,,,,,
,,,,,,,,,,,apykawa,,,,,,,,,,,,
,,,,,,kũjãa,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakũjãa
,,,,,,,,,,,,,,enepyꞌaꞌwyt,,,,,,,,,
,,,,,,,,,,,,,jepyꞌaꞌwyt,,,,,,,,,,
,,,,,,,,,,,aapesak,,,,,,,,,,,,
,,,,,,kwakupa,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aresãri,,,,,,,,,,,,
,,,,,,,,,,domingo,,,,,,,,,,,,,
,,,,,,,,,,,awawera,,,,,,,,,,,,
,,,,,,,,,,,awaupap,,,,,,,,,,,,
,,,,,,,,,,,anug,,,,,,,,,,,,
,,,,gaprieua,,,,,,,,,,,,,,,,,,,
,,,,gaprieu,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,augusto,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pypeymã,,,,,,
,,,,,,,,,,,amakuꞌi,,,,,,,,,,,,
,,,,,,,,,,,asia,,,,,,,,,,,,
,,,,,,,,,,,amomap,,,,,,,,,,,,
,,,,,,,,,,,aseri,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pykaua,,,,,,
,,,,gariu,,,,,,,,,,,,,,,,,,,
,,,,,,kĩsi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,apireni,,,,,,,,,,,,
,,ywyperewa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pymĩmaw,,,,,,
,,,,,,,,,,,,,,,,,pymĩaw,,,,,,
,,,,,,,,,,,amosi,,,,,,,,,,,,
,,,,,,,,,,,ati,,,,,,,,,,,,
,,,,,,kosã,,,,,,,,,,,,,,,,,
,,,,,,,,,,,amin,,,,,,,,,,,,
,,,,,,,,,,,arni,,,,,,,,,,,,
kainã,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kainã,,,,,,,,,,,,,,,,,
,,ywytyꞌrar,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pypekau,,,,,,
,,,,,,,,,,,awỹi,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyyrũi,,,,,,
,,,,,,,,,,,aruetyg,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyrape,,,,,,
,,,,,,,,,,,ajaiꞌwi,,,,,,,,,,,,
,,,,,,kouu,,,,,,,,,,,,,,,,,
,,,,,,kaĩ,,,,,,,,,,,,,,,,,
,,,,,,kusa,,,,,,,,,,,,,,,,,
,,,,,,kupyfaa,,,,,,,,,,,,,,,,,
,,,,,,,,,,,apygamũ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pytunũũ,
,,,,,,,,,,,,,,,,,pytunũũ,,,,,,
,,,,,,,,,,,amogyta,,,,,,,,,,,,
,,,,,,,,,,,areewi,,,,,,,,,,,,
,,,,,,,,,,,agoꞌo,,,,,,,,,,,,
,,,,,,,,,,,arajuwa,,,,,,,,,,,,
,,,,,,,,,,,aetypap,,,,,,,,,,,,
,,,,,,,,,,,aguꞌjaa,,,,,,,,,,,,
,,,,,,,,,,,auꞌjawa,,,,,,,,,,,,
,,,,,,,,,,,ayꞌu,,,,,,,,,,,,
,,,,,,,,,,,apopaw,,,,,,,,,,,,
,,,,,,kwatau,,,,,,,,,,,,,,,,,
,,,,,,,,,,,amomyau,,,,,,,,,,,,
,,,,,,,,,,,akũ,,,,,,,,,,,,
,,,,,,,,,,,arujara,,,,,,,,,,,,
,,,,,,,,,,,aapopap,,,,,,,,,,,,
,,,,,,kwaruua,,,,,,,,,,,,,,,,,
kawaruua,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kwapawa,,,,,,,,,,,,,,,,,
,,,,,,katuu,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ajamanũ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyamu,,,,,,
,,,,,,,,,,,,,,,,,pyteri,,,,,,
,,,,,,,,,,,apoar,,,,,,,,,,,,
,,,,,,,,,,,awawete,,,,,,,,,,,,
,,,,,,,,,,,apisia,,,,,,,,,,,,
,,,,,,kwakuwi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aruenuw,,,,,,,,,,,,
,,,,,,,,,,,arako,,,,,,,,,,,,
,,,,,,,,,,,apisawa,,,,,,,,,,,,
,,,,,,,,,,,ajuowai,,,,,,,,,,,,
,,,,,,,,,,,aepyat,,,,,,,,,,,,
kaaruwa,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kaaruwa,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aejywaa,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyriuu,,,,,,
,,,,,kreopas,,,,,,,,,,,,,,,,,,
,,,,,,kreopas,,,,,,,,,,,,,,,,,
,,,,,,,,,levita,,,,,,,,,,,,,,
,,,,,,,,,,,andrea,,,,,,,,,,,,
,,,,,,,,,,,apoupap,,,,,,,,,,,,
,,,,,,,,,,,aꞌagaw,,,,,,,,,,,,
,,,,,,,,,,,aekuꞌia,,,,,,,,,,,,
,,,,,,kojara,,,,,,,,,,,,,,,,,
,,,,,kreta,,,,,,,,,,,,,,,,,,
,,ywyapiau,,,,,,,,,,,,,,,,,,,,,
,,ywytyꞌri,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pymĩnamũ,,,,,,
,,,,,,,,,,,aeroꞌo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pytaaiwi,
,,,,,,,,,,,,,,,,,pytaaiwi,,,,,,
,,,,,,kujau,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aramanũ,,,,,,,,,,,,
,,,,,,,,,,,aꞌgwara,,,,,,,,,,,,
,,,,,,,,,,,arajaui,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pymĩawer,,,,,,
kaiwer,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aunuga,,,,,,,,,,,,
,,,,,,,,,,,aꞌeu,,,,,,,,,,,,
,,,,,,,,,,,akuꞌau,,,,,,,,,,,,
,,,,,,,,,,,arajuee,,,,,,,,,,,,
,,,,,,,,,,,akỹma,,,,,,,,,,,,
,,,,,,,,,,,akãa,,,,,,,,,,,,
,,,,,,,,,,,apyyrũ,,,,,,,,,,,,
,,,,,,,,,,,aruekat,,,,,,,,,,,,
,,,,,,,,,,,akupeu,,,,,,,,,,,,
,,,,,,,,,,,aꞌgui,,,,,,,,,,,,
,,,,,,,kriopasi,,,,,,,,,,,,,,,,
,,,krisopasi,,,,,,,,,,,,,,,,,,,,
,,,,,kriopasi,,,,,,,,,,,,,,,,,,
,,,krisipu,,,,,,,,,,,,,,,,,,,,
,,,,,,,krisipu,,,,,,,,,,,,,,,,
,,,,,,kirua,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aloes,,,,,,,,,,,,
,,,,,,,,,,,arujãna,,,,,,,,,,,,
,,,,,,,,,,,atykupe,,,,,,,,,,,,
,,,,,,,,,,,atosje,,,,,,,,,,,,
,,,,,,,,,,,aketema,,,,,,,,,,,,
kapatosi,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kreta,,,,,,,,,,,,,,,,,
,,,,,,,,,,,areta,,,,,,,,,,,,
,,,,,,,,,,,arabia,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyjuꞌã,,,,,,
,,ywyrafen,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aeꞌmea,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pytepyter,
,,,,gamarieu,,,,,,,,,,,,,,,,,,,
kautei,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kautei,,,,,,,,,,,,,,,,,
kanaã,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakanaã
,,,,,,kanaã,,,,,,,,,,,,,,,,,
,,,,,,,,,,,anugatu,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pytag,,,,,,
,,,,,,,,,,,,,,,,,,jepytuꞌwawa,,,,,
,,,,,,,,,,,,,,,,,,,,opytuꞌwawa,,,
,,,,,,kãtasi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,asoto,,,,,,,,,,,,
,,,,,,,,damasco,,,,,,,,,,,,,,,
,,,,,,,,,,damasco,,,,,,,,,,,,,
,,,,,,koneriu,,,,,,,,,,,,,,,,,
,,,,,,kapu,,,,,,,,,,,,,,,,,
,,,,,,,,,,,agapu,,,,,,,,,,,,
,,,,,krautiu,,,,,,,,,,,,,,,,,,
,,,,,,krautiu,,,,,,,,,,,,,,,,,
,,,,gade,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ataria,,,,,,,,,,,,
,,,,garasi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aruẽma,,,,,,,,,,,,
,,,,,,,,,,,ajeaje,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pypekai,,,,,,
,,,,,,,,,,,atenasi,,,,,,,,,,,,
,,,,,,,,,,,aꞌjeꞌem,,,,,,,,,,,,
,,,,gaio,,,,,,,,,,,,,,,,,,,
,,,,,,,,damarisi,,,,,,,,,,,,,,,
,,,,,,korĩtu,,,,,,,,,,,,,,,,,
,,,,,,,,,,,akira,,,,,,,,,,,,
,,,,,krisipu,,,,,,,,,,,,,,,,,,
,,,,,,krisipu,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aporu,,,,,,,,,,,,
,,,,,,,,,,diana,,,,,,,,,,,,,
,,,,,,,,,,,asosi,,,,,,,,,,,,
,,,,,,kiosi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aruꞌjãu,,,,,,,,,,,,
,,,,,,,,,,,aruꞌar,,,,,,,,,,,,
,,ywywyriꞌi,,,,,,,,,,,,,,,,,,,,,
kaꞌarete,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,arawawa,,,,,,,,,,,,
,,,,,,,,,,drusila,,,,,,,,,,,,,
,,,,,,,,,,,agripa,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyꞌru,,,,,,
,,,,,,kauta,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pypekap,,,,,,
,,,,,,,,,,,apysãu,,,,,,,,,,,,
,,,,,,,,,,,apiu,,,,,,,,,,,,
karanũ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,karanũ,,,,,,,,,,,,,,,,,
kamẽsĩ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakamẽsĩ
,,,,,,kamẽsĩ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aramuꞌe,,,,,,,,,,,,
,,,,,,,,,,,,naaejewag,,,,,,,,,,,
,,,,,,,,,,,amanũaw,,,,,,,,,,,,
,,,,,,,,,,,apoiymã,,,,,,,,,,,,
,,,,,,kũjãmet,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aefaema,,,,,,,,,,,,
,,,,,,,,,,,,,jepypeka,,,,,,,,,,
,,,,,,,,,,,,,,,,,pypeka,,,,,,
,,,,,,,,,,,aenamĩa,,,,,,,,,,,,
katueꞌem,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kwaukat,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aꞌgwaaw,,,,,,,,,,,,
,,,,,,,,,,,apeles,,,,,,,,,,,,
,,,,,,kwaritu,,,,,,,,,,,,,,,,,
,,,,,,kylu,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pymĩawãu,,,,,,
kamyꞌia,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kamyꞌia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pypiar,,,,,,
,,,,,,kaipawi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aruata,,,,,,,,,,,,
,,,,,,,,,,,apoawet,,,,,,,,,,,,
,,,,,,,,,,,apoawãu,,,,,,,,,,,,
,,,,,,,,,,,aꞌagap,,,,,,,,,,,,
,,,,,,kamy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,agoꞌoa,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyygeꞌem,,,,,,
,,,,,,kwaja,,,,,,,,,,,,,,,,,
,,,,,,,,,,,arukaga,,,,,,,,,,,,
,,,,,,,,,,,arukag,,,,,,,,,,,,
,,,,,,,,,,,amuteeu,,,,,,,,,,,,
,,,,,,,,,,,apisaw,,,,,,,,,,,,
,,,,,,kĩẽtus,,,,,,,,,,,,,,,,,
,,,,,,kokari,,,,,,,,,,,,,,,,,
kaꞌmigi,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kaꞌmigi,,,,,,,,,,,,,,,,,
kaꞌmika,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kaꞌmika,,,,,,,,,,,,,,,,,
,,,,,,,,,,,atãua,,,,,,,,,,,,
,,,,,,,,,,,akaiku,,,,,,,,,,,,
,,,,,,,,,,,agoꞌoi,,,,,,,,,,,,
,,,,garasije,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,amanũam,,,,,,,,,,,,
,,,,,,,,,,,apoipẽẽ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pypiat,,,,,,
,,,,,,,,,,,,,,,opyꞌapiat,,,,,,,,
,,,,,,,,,,,akagyrũ,,,,,,,,,,,,
,,,,,kremẽti,,,,,,,,,,,,,,,,,,
,,,,,,kremẽti,,,,,,,,,,,,,,,,,
,,,,,,korosi,,,,,,,,,,,,,,,,,
katuukaa,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,demas,,,,,,,,,,,,,
,,,,,,,,,,,akipu,,,,,,,,,,,,
kamaap,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kamaap,,,,,,,,,,,,,,,,,
,,,,,,,,,,diacano,,,,,,,,,,,,,
,,,,,kresẽte,,,,,,,,,,,,,,,,,,
,,,,,,kresẽte,,,,,,,,,,,,,,,,,
,,,,,,,,dalmacia,,,,,,,,,,,,,,,
,,,,,,,,,,,artemas,,,,,,,,,,,,
,,,,,,,,,,,aporua,,,,,,,,,,,,
,,,,,,,,,,,afia,,,,,,,,,,,,
,,,,,,,,,,,amunug,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pytuꞌui,
,,,,,,,,,,,,,,,,,pytuꞌui,,,,,,
,,,,,,,,,,,awawarũ,,,,,,,,,,,,
kanafũꞌĩ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kerupĩ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,akãꞌi,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pytaga,,,,,,
,,,,,,,,,,,aꞌmyaa,,,,,,,,,,,,
,,,,,,kumana,,,,,,,,,,,,,,,,,
,,ywytyt,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,naaꞌerãu,,,,,,,,,,,
,,,,,,,,,,,afuaga,,,,,,,,,,,,
,,,,,,kupiꞌia,,,,,,,,,,,,,,,,,
,,,,,,kuꞌema,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,opyꞌapojy,,,,,,,,
,,,,,,,,,,,amuug,,,,,,,,,,,,
,,,,,,,,,,,ajeu,,,,,,,,,,,,
,,,,,,,,,,,aꞌjeu,,,,,,,,,,,,
,,,,,,,,,,,ajemogo,,,,,,,,,,,,
,,,,,,kwasiar,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aeoga,,,,,,,,,,,,
,,,,,,,,,,,afuramũ,,,,,,,,,,,,
,,,,,,,,,,,amukag,,,,,,,,,,,,
,,,,,,,,,,,amaꞌna,,,,,,,,,,,,
,,,,,,kwawuku,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyamua,,,,,,
,,,,,,,,,,,apatõ,,,,,,,,,,,,
,,,,,,,,,,,aporiãu,,,,,,,,,,,,
,,,,,,kwanũũ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aimea,,,,,,,,,,,,
,,,,,,,,,,,akoupap,,,,,,,,,,,,
kamijãꞌĩ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kaiwer,,,,,,,,,,,,,,,,,
,,,,,,,,,,,amunep,,,,,,,,,,,,
kamẽsĩũũ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kristau,,,,,,,,,,,,,,,,
,,,,,kristau,,,,,,,,,,,,,,,,,,
,,,,,,kristau,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pytuꞌẽa,
,,,,,,,,,,,,,,,,,pytuꞌẽa,,,,,,
,,,,,,,,,,,,,,,opytuꞌẽ,,,,,,,,
,,,,,,,,,,,agata,,,,,,,,,,,,
,,,krisoritu,,,,,,,,,,,,,,,,,,,,
,,,,,,,krisoritu,,,,,,,,,,,,,,,,
,,,,,,,krisopasi,,,,,,,,,,,,,,,,
