bal,is,bar,ab,a,da,le,w,n,ha,en,h,d,c,cr
,,,,,,,,,,enómane,,,,
,,,,,,,waikoa,,,,,,,
,,,,,,,,,,,haomana,,,
,,,,,,,,naokare,,,,,,
,,,,,,,,,,,haokare,,,
,,,,,,,waokare,,,,,,,
,,,,,,,,,,enaliha,,,,
,,,,,,,,,,enolo,,,,
,,,,,,,waitare,,,,,,,
,,,,,,,,,hatirise,,,,,
,,,,,,,,,,,hikahe,,,
,,,,,,,wikahe,,,,,,,
,,,,,,,,,,,hiniri,,,
,,,,,,,,,,,hikoata,,,
,,,,,,,,,hahiyeta,,,,,
,,,,,,,,nokahe,,,,,,
,,,,,,,,,hahekore,,,,,
,,,,,,,,,haloti,,,,,
,,,,,,,,,,,haloti,,,
,,,,alfeu,,,,,,,,,,
,,,,,,,,,,,,,canaã,
,,,,awaira,,,,,,,,,,
,,,,,,,,,,,,,cobre,
,,,,,,,,,hatane,,,,,
,,,,,,,,,,,hatane,,,
,,,,,,,,,hatyoako,,,,,
,,,,,,,waiyane,,,,,,,
,,,,axaliha,,,,,,,,,,
,,,,,,,,nirai,,,,,,
,,,,,,,,,,,hirai,,,
,,,,,,,wirai,,,,,,,
,,,,,,,,,,,himaira,,,
,,,,,,,,,hanamali,,,,,
,,,,akatita,,,,,,,,,,
,,,,,,,,,,,haoti,,,
,,,,,,,,nomi,,,,,,
,,,,,,,,,hahalo,,,,,
,,,,,,,,,,,hahalo,,,
,,,,,,,,,,,halonai,,,
,,,,,,,,,hakobone,,,,,
,,,,,,,,,,enorite,,,,
,,,,,,,,nokakoi,,,,,,
,,,,,,,,niraini,,,,,,
,,,,akiyata,,,,,,,,,,
,,,,,,,,,,,hotyali,,,
,,,,,,,,,,,haihare,,,
,,,,,,,,,hatiha,,,,,
,,,,,,,,,,,,,corazim,
,,,,,,,,nimere,,,,,,
,,,,,,,wehe,,,,,,,
,,,,,,,,niyehe,,,,,,
,,,,,,,,,haseriha,,,,,
,,,,,,,,,,enanae,,,,
,,,,,,,wikaoka,,,,,,,
,,,,,,,,,,,hikaoka,,,
,,,,,,,winali,,,,,,,
,,,,,,,,,,,hinali,,,
,isiniya,,,,,,,,,,,,,
,,,,abá,,,,,,,,,,
,,,,,,,,,haokaiya,,,,,
,,,,,,,wiheno,,,,,,,
,,,,amala,,,,,,,,,,
,,,,,,,,,hasemare,,,,,
,,,,,,,,,hatahiha,,,,,
,,,,,,,,,,,hakakoa,,,
,,,,,,,,,,enoakota,,,,
,,,,,,,,,,,hatahi,,,
,,,,,,,,,hasakene,,,,,
,,,,akoite,,,,,,,,,,
,,,,,,,,,,,hekoite,,,
,,,,,,,,,hatyoaho,,,,,
,,,,,,,watere,,,,,,,
,,,,alyako,,,,,,,,,,
,,,,,,,,,halyako,,,,,
,,,,,,,,,,,halyako,,,
,,,,,,,,,hanakota,,,,,
,,,,,,,witya,,,,,,,
,,,,,,,,,hafitya,,,,,
,,,,,,,,,,,hafitya,,,
,,,,,,,,neri,,,,,,
,iseri,,,,,,,,,,,,,
,,,,,,,waiyeri,,,,,,,
,,,,,,,wisonae,,,,,,,
,,,,akoreha,,,,,,,,,,
,,,,,,,,,hanamaki,,,,,
,,,,,,,,,hajako,,,,,
,,,,,,,,,,enajako,,,,
,,,,,,,,,,,hajako,,,
,,,,,,,,najako,,,,,,
,,,,,,,,nínive,,,,,,
,,,,,,,,nohani,,,,,,
,,,,,,,,,hanaka,,,,,
,,,,,,,,,,,hanaka,,,
,,,,,,,,,hateko,,,,,
,,,,,,,,,,,hateko,,,
,,,,,,,wiyaita,,,,,,,
,,,,,,,,,,,hiyaita,,,
,,,,,,,,,,,hátahi,,,
,,,,,,,,,,,henekoa,,,
,,,,,,,wenekoa,,,,,,,
,,,,,,,,,haxowaka,,,,,
,,,,,,,,,hatinae,,,,,
,isoareha,,,,,,,,,,,,,
,,,,,,,,nomite,,,,,,
,,,,,,,,,hatisa,,,,,
,,,,,,,,,,,hatisa,,,
,,,,,,,,,,,hakate,,,
,,,,,,,,,haiheha,,,,,
,,,,,,,,,,,haiheha,,,
,,,,,,,waexe,,,,,,,
,,,,,,,,netati,,,,,,
,,,,,,,,,,,hetati,,,
,,,,akitite,,,,,,,,,,
,,,,,,,,noxakai,,,,,,
,,,,,,,,nexaite,,,,,,
,,,,,,,,,,,hexaite,,,
,,,,,,,weroka,,,,,,,
,,,,,,,,,,,hanama,,,
,,,,,,,,,haxenane,,,,,
,,,,,,,,,haseri,,,,,
,,,,,,,,,,,hisota,,,
,,,,,,,wisota,,,,,,,
,,,,,,,,,,enoxeta,,,,
,,,,,,,,,hakawisa,,,,,
,,,,,,,,natona,,,,,,
,,,,ahá,,,,,,,,,,
,,,,,,,,,hatyokoa,,,,,
,,,,,,,waiyira,,,,,,,
,,,,,,,,notahi,,,,,,
,,,,,,,,,hasemita,,,,,
,,,,,,,,,haxene,,,,,
,,,,axene,,,,,,,,,,
,,,,,,,,,,,hiyase,,,
,,,,,,,,,,,hikoita,,,
,,,,,,,,,,,hasaka,,,
,,,,,,,,,,,holoxo,,,
,,,,,,,,nete,,,,,,
,,,,,,,,,,enete,,,,
,,,,,,,,nalikoa,,,,,,
,,,,,,,,notyare,,,,,,
,,,,,,,,,,,hotyare,,,
,,,,,,,,nokiji,,,,,,
,isoawiha,,,,,,,,,,,,,
,,,,,,,,,,,henoite,,,
,,,,,,,,notyoma,,,,,,
,,,,,,,,,hatiri,,,,,
,,,,,,,,,hatyota,,,,,
,,,,,,,,natyota,,,,,,
,,,,,,,,,,,hatyota,,,
,isoawi,,,,,,,,,,,,,
,,,,,,,,,hatiho,,,,,
,,,,,,,,,,,hatiho,,,
,,,,,,,,,halitiya,,,,,
,,,,aliyere,,,,,,,,,,
,,,,,,,,,haliyere,,,,,
,,,,,,,,,hanoloka,,,,,
,,,,,,,,,,,hikiji,,,
,,,,,,,,,hamoheta,,,,,
,,,,,,,,,hakotane,,,,,
,,,,,,,,,halitite,,,,,
,,,,,,,,,haterore,,,,,
,,,,,,,,,,,hikaiwa,,,
,,,,,,,,,hanisa,,,,,
,,,,awiyahi,,,,,,,,,,
,,,,,,,,nakoako,,,,,,
,,,,,,,,,,enakoako,,,,
,,,,alaite,,,,,,,,,,
,,,,,,,,,,,hisoka,,,
,,,,,,,wisoka,,,,,,,
,,,,,,,,,hahaka,,,,,
,,,,,,,,,,,hahaka,,,
,,,,,,,wahaka,,,,,,,
,,,,,,,,nahaka,,,,,,
,,,,,,,,,hahikoa,,,,,
,,,,,,,wahikoa,,,,,,,
,,,,,,,,,,,hahikoa,,,
,,,,,,,,nahikoa,,,,,,
,,,,,,,,noloxi,,,,,,
,,,,,,,,,hawatone,,,,,
,,,,,,,wisera,,,,,,,
,,,,,,,,,,,hisera,,,
,,,,akorexa,,,,,,,,,,
,,,,,,,,nokane,,,,,,
,,,,,,,,,,,hakaka,,,
,,,,,,,,,,enemaka,,,,
,,,,,,,,nemaka,,,,,,
,,,,,,,,,halohalo,,,,,
,,,,,,,,,hamasene,,,,,
,,,,,,,,nexaka,,,,,,
,,,,,,,,,,,holini,,,
,,,,,,,waisene,,,,,,,
,,,,,,,,,,,hikoare,,,
,,,,awaiya,,,,,,,,,,
,,,,,,,,nowaiya,,,,,,
,,,,,,,,,,,henolo,,,
,,,,axarene,,,,,,,,,,
,,,,,,,,,hakase,,,,,
,,,,,,,,,hakanoha,,,,,
,,,,,,,,,,,hisoiya,,,
,,,,,,,wisoiya,,,,,,,
,,,,,,,,,haiyanae,,,,,
,,,,,,,,,,,hortelã,,,
,,,,,,,,,,,,doce,,
,,,,,,,,,,,,,cominho,
,,,,,,,,,hatihita,,,,,
balatoahe,,,,,,,,,,,,,,
,,,,,,,,,,,hityako,,,
,,,,,,,waijita,,,,,,,
,,,,,,,,,,,haijita,,,
,,baraquias,,,,,,,,,,,,
,,,,,,,,,,,haima,,,
,,,,,,,,noé,,,,,,
,,,,,,,,,,,haxaiya,,,
,,,,,,,,naxaiya,,,,,,
,,,,,,,,,,,haoloxa,,,
,,,,akitita,,,,,,,,,,
,,,,,,,,nomaira,,,,,,
,,,,,,,,,hamokare,,,,,
,,,,,,,,,,,hoinita,,,
,,,,,,,,noinita,,,,,,
,,,,,,,,,,enorenai,,,,
,,,,,,,,,,,,,caifás,
,,,,,,,,noháre,,,,,,
,,,,anereya,,,,,,,,,,
,,,,,,,,,,,haxaka,,,
,,,,,,,,nowaini,,,,,,
,,,,,,,,,,,hikaose,,,
,,,,,,,,,hasekase,,,,,
,,,,,,,wotoka,,,,,,,
,,,,,,,,,,,hakase,,,
,,,,,,,wiyala,,,,,,,
,,,,,,,,,halalaka,,,,,
,,,,,,,,,,enos,,,,
,,barrabás,,,,,,,,,,,,
,,,,,,,,,hasese,,,,,
,,,,,,,,,,,hasese,,,
,,,,,,,,nimako,,,,,,
,,,,,,,,,haimako,,,,,
,,,,,,,,,,,himako,,,
,,,,,,lemá,,,,,,,,
,,,,awijira,,,,,,,,,,
,,,,,,,,nekese,,,,,,
,,,,,,,,,hatakoa,,,,,
,,,,,,,,,,,hatakoa,,,
,,,,axeheta,,,,,,,,,,
,,,,,,,,,,,hikoaha,,,
,,,,,,,,,,,,domingo,,
,,,,,,,,,hatawita,,,,,
,,,,aliheta,,,,,,,,,,
,,,,,,,,,hatyonae,,,,,
,,,,aosetya,,,,,,,,,,
,,,,,,,,,,,hatinae,,,
,,,,akaiki,,,,,,,,,,
,,,,,,,,,,,hatiri,,,
,,,,,,,,naowita,,,,,,
,,,,,,,waowita,,,,,,,
,,,abiatar,,,,,,,,,,,
,,,,abiatar,,,,,,,,,,
,,,,,,,,,,,,,cananeu,
,,,,atyore,,,,,,,,,,
,,,,,,,waiyaka,,,,,,,
,,,,,,,,,,,haseri,,,
,,,,,,,,,hakano,,,,,
,,,,,,,wáhaka,,,,,,,
,,,,,,,wainita,,,,,,,
,,,,,,,,,,,,,cumi,
,,,,,,,,,,enenala,,,,
,,,,,,,,,,,haxene,,,
,,,,,,,,naxene,,,,,,
,,,,,,,,,hawawa,,,,,
,,,,,,,wiwawa,,,,,,,
,,,,,,,,,haiyaxa,,,,,
,,,,,,,,,,,haiyaxa,,,
,,,,,,,,,hahetako,,,,,
,,,,,,,,,,enakoata,,,,
,,,,,,,,,hakahihi,,,,,
,,,,,,,,,hanakaha,,,,,
,,,,,,,,,haxataho,,,,,
,,,,,,,,,,,hakano,,,
,,,,,,,,,haxaxane,,,,,
,,,,,,,wisotya,,,,,,,
,,bartimeu,,,,,,,,,,,,
,,,,,,,,,haihiri,,,,,
,,,,,,,,,,,haihiri,,,
,,,,,,,,,,,hahiye,,,
,,,,,,,,,,,hirínai,,,
,,,,,,,,,,,hekoiya,,,
,,,,,,,,,,,hekoira,,,
,,,,,,,,,,enexona,,,,
,,,,,,,,nexona,,,,,,
,,,,,,,,,,,hatyoha,,,
,,,,,,,,néxare,,,,,,
,,,,,,,,,,,héxare,,,
,,,,awatyo,,,,,,,,,,
,,,,,,,,,hasakaha,,,,,
,,,,,,,,,,,háomane,,,
,,,,aliyeri,,,,,,,,,,
,,,,ajikoa,,,,,,,,,,
,,,,,,,,,hatawane,,,,,
,,,,,,,,,hahatene,,,,,
,,,,,,,,,harero,,,,,
,,,,,,,,,,,harero,,,
,,,,,,,,,hateniti,,,,,
,,,,,,,,nexala,,,,,,
,,,,axomoka,,,,,,,,,,
,,,,,,,,,,enexenae,,,,
,,,,,,,,,haháreha,,,,,
,,,,,,,,,halanite,,,,,
,,,,augusto,,,,,,,,,,
,,,,,,,,,,,,,cirênio,
,,,,,,,,,,,haexare,,,
,,,,,,,,nenone,,,,,,
,,,,,,,wiyá,,,,,,,
,,,,,,,,,hahotira,,,,,
,,,,,,,,,,enexalo,,,,
,,,,,,,,nexalo,,,,,,
,,,,aser,,,,,,,,,,
,,,,,,,,,hahanaha,,,,,
,,,,,,,,,,,haháre,,,
,,,abilene,,,,,,,,,,,
,,,,abilene,,,,,,,,,,
,,,,anás,,,,,,,,,,
,,,,axitene,,,,,,,,,,
,,,,,,,,nanohi,,,,,,
,,,,,,,,nagai,,,,,,
,,,,adi,,,,,,,,,,
,,,,,,,,,,,,,cosã,
,,,,,,,,nassom,,,,,,
,,,,admim,,,,,,,,,,
,,,,arni,,,,,,,,,,
,,,,,,,,nacor,,,,,,
,,,,,,,,,,,,,cainã,
,,,,,,,,naamã,,,,,,
,,,,,,,,nakero,,,,,,
,,,,,,,wátere,,,,,,,
,,,,,,,,,hatekoxa,,,,,
,,,,,,,,,halaki,,,,,
,,,,,,,,,,,halaki,,,
,,,,,,,,,halaisoa,,,,,
,,,,ahota,,,,,,,,,,
,,,,,,,,nahota,,,,,,
,,,,,,,,,,enaoseya,,,,
,,,,,,,,,hatityoa,,,,,
,,,,,,,,,hainakoa,,,,,
,,,,,,,,,,,hinakoa,,,
,,,,ainakoa,,,,,,,,,,
,,,,,,,,,hakolala,,,,,
,,,,,,,,,,,hihinai,,,
,,,,akotare,,,,,,,,,,
,,,,,,,,,,,hákoa,,,
,,,,,,,,,hakákoa,,,,,
,,,,,,,,,,,hakákoa,,,
,,,,,,,,,,,hokoli,,,
,,,,ajika,,,,,,,,,,
,,,,,,,,noxoare,,,,,,
,,,,,,,wijoita,,,,,,,
,,,,,,,,,,,hijoita,,,
,,,,,,,,,,,,,caim,
,,,,,,,,naim,,,,,,
,,,,,,,,nowaita,,,,,,
,,,,,,,,,haosexa,,,,,
,,,,,,,,,,,haosexa,,,
,,,,,,,,,,,háhare,,,
,,,,,,,,natiha,,,,,,
,,,,,,,,,,,hatiha,,,
,,,,,,,,,,,,,cuza,
,,,,,,,,,hakitiya,,,,,
,,,,akitiya,,,,,,,,,,
,,,,,,,,,,,hihoko,,,
,,,,,,,,,hawawita,,,,,
,,,,,,,,,hatyoli,,,,,
,,,,,,,,,,,hatyoli,,,
,,,,,,,,,hakakoha,,,,,
,,,,,,,,nisá,,,,,,
,,,,,,levita,,,,,,,,
,,,,,,,,,hahanita,,,,,
,,,,arruda,,,,,,,,,,
,,,,axexe,,,,,,,,,,
,,,,,,,,niraka,,,,,,
,,,,,,,,,hataose,,,,,
,,,,,,,,,,,hataose,,,
,,,,,,,wakane,,,,,,,
,,,,,,,,nimexa,,,,,,
,,,,,,,,,,,hityoka,,,
,,,,,,,,,habowiya,,,,,
,,,,,,,,,,,hohola,,,
,,,,,,,,,,,,,coré,
,,,,,,,,nonaki,,,,,,
,,,,,,,,,hahakita,,,,,
,,,,,,,wisaota,,,,,,,
,,,,,,,,,,,hisaota,,,
,,,,,,,,,hakahehi,,,,,
,,,,,,,,,,enowatya,,,,
,,,,,,,,,,enxofre,,,,
,,,,,,,,,,,howero,,,
,,,,,,,,nonexa,,,,,,
,,,,,,,,,haonexa,,,,,
,,,,,,,,,,,haonexa,,,
,,,,,,,,,,,haeho,,,
,,,,,,,,nokawi,,,,,,
,,,,,,,,,,,,,cleopas,
,,,,,,,,nolone,,,,,,
,,,,,,,,,haolone,,,,,
,,,,,,,,,,enolone,,,,
,,,,,,,,notiya,,,,,,
,,,,,,,wahase,,,,,,,
,,,,ahai,,,,,,,,,,
,,,,,,,,,,,,,cefas,
,,,,,,,,,haxánene,,,,,
,,,,,,,,,,,,,caná,
,,,,,,,,,hasahena,,,,,
,,,,,,,watyáha,,,,,,,
,,,,,,,,,haxako,,,,,
,,,,,,,,,hasemane,,,,,
,,,,,,,,notera,,,,,,
,,,,,,,,,,,hawawa,,,
,,,,axitere,,,,,,,,,,
,,,,,,,,nexoa,,,,,,
,,,,,,,wexoa,,,,,,,
,,,,axalisa,,,,,,,,,,
,,,,,,,wainiya,,,,,,,
,,,,,,,,,,,hades,,,
,,,,,,,,,,enokoare,,,,
,,,,,,,,,,,hiwaini,,,
,,,,,,,wiwaini,,,,,,,
,,,,,,,,,hatahita,,,,,
,,,,,,,wihaoti,,,,,,,
,,,,,,,,,haliyata,,,,,
,,,,,,,,niraexe,,,,,,
,,,,,,,,nowawi,,,,,,
,,,,,,,,nománi,,,,,,
,,,,,,,,nomiya,,,,,,
,,,,,,,,,,,hitiho,,,
,,,,,,,witiho,,,,,,,
,,,,,,,,notiho,,,,,,
,,,,,,,winaho,,,,,,,
,,,,,,,,,,,henore,,,
,,,,atyoala,,,,,,,,,,
,,,,,,,,nonaho,,,,,,
,,,,,,,,noxako,,,,,,
,,,,,,,,,,,,dídimo,,
,,,,,,,,,haháhare,,,,,
,,,,,,,,,hakaoli,,,,,
,,,,,,,,,,,hakaoli,,,
,,,,,,,,nomira,,,,,,
,,,,,,,,,,,haxako,,,
,,,,,,,waiyíra,,,,,,,
,,,,,,,,,hakitako,,,,,
,,,,,,,,,hajiha,,,,,
,,,,,,,,noseri,,,,,,
,,,,,,,,namaika,,,,,,
,,,,,,,,,hahinae,,,,,
,,,,,,,,nohinae,,,,,,
,,,,,,,,,hasémane,,,,,
,,,,,,,,,,,,,cedrom,
,,,,,,,,,hanakati,,,,,
,,,,,,,,,,,,,césar,
,,,,,,,,,,,,,clopas,
,,,,,,,,,hatyoxa,,,,,
,,,,,,,,,,,hatyoxa,,,
,,,,,,,,,hanahe,,,,,
,,,,,,,,,,,hanahe,,,
,,,,aloés,,,,,,,,,,
,,,,,,,,,halatako,,,,,
,,,,,,,,nikaore,,,,,,
,,,,,,,,,halaisa,,,,,
,,,,,,,,,,,halaisa,,,
,,,,,,,,,,enorenae,,,,
,,,,,,,,,,,háiyane,,,
,,,,,,,,,,enajihi,,,,
,,,,,,,,,haxakoha,,,,,
,,barsabás,,,,,,,,,,,,
,,,,arábia,,,,,,,,,,
,,,,,,,,niyite,,,,,,
,,,,,,,,,,,,,chipre,
,,barnabé,,,,,,,,,,,,
,,,,ananias,,,,,,,,,,
,,,,,,,,,hananae,,,,,
,,,,,,,,nicanor,,,,,,
,,,,,,,,nicolau,,,,,,
,,,,,,,,,,,,,cilícia,
,,,,,,,,,harã,,,,,
,,,,,,,,,,,harã,,,
,,,,,,,,,hanalise,,,,,
,,,,,,,,,,,,,candace,
,,,,,,,,,,,,,coloss,
,,,,azoto,,,,,,,,,,
,,,,,damasco,,,,,,,,,
,,,,,,,,,,,,damasco,,
,,,,,,,,,,,hananae,,,
,,,,,,,,,,enéias,,,,
,,,,,,,,,,,,dorcas,,
,,,,atália,,,,,,,,,,
,,,,,,,,,,,hanisa,,,
,,,,,,,,,,,,,cláudio,
,,,,,,,,,,,haimako,,,
,,,,,,,,negro,,,,,,
,,,,,,,,,,,,derbe,,
,,,,,,,,,,,hahinae,,,
,,,,aisoawi,,,,,,,,,,
,,,,,,,,,hametene,,,,,
,,,,atenas,,,,,,,,,,
,,,,,damáris,,,,,,,,,
,,,,,,,,,,,,damáris,,
,,,,,,,,,,,,,corinto,
,,,,,,,,,,,,,,crispo
,,,,,,,,,,,,,crispo,
,,,,apolo,,,,,,,,,,
,,,,,,,,,,,,,ceva,
,,,,acaia,,,,,,,,,,
,,,,,,,,,,,,diana,,
,,,,,,,,,,,hohotya,,,
,,,,,,,,,,,,,canela,
,,,,assôs,,,,,,,,,,
,,,,,,,,nosexi,,,,,,
,,,,,,,,,,,,,cós,
,,,,,,,waikate,,,,,,,
,,,,,,,,,,,hebreu,,,
,,,,,,,,,,,,drusila,,
,,,,agripa,,,,,,,,,,
,,,,,,,,notyoka,,,,,,
,,,,,,,,nohoko,,,,,,
,,,,,,,,,,,,,cnido,
,,,,,,,,,,,holola,,,
,,,,,,,,notota,,,,,,
,,,,,,,,,,,,,cauda,
,,,,,,,,,hatyoki,,,,,
,,,,,,,,,,,hatyoki,,,
,,,,,,,watákoa,,,,,,,
,,,,,,,,,hatyanae,,,,,
,,,,atyanae,,,,,,,,,,
,,,,,,,,,hakirore,,,,,
,,,,,,,waiyase,,,,,,,
,,,,,,,,,,enáli,,,,
,,,,,,,winaka,,,,,,,
,,,,,,,,,haxoawi,,,,,
,,,,,,,,,,,haxoawi,,,
,,,,,,,,,,enonene,,,,
,,,,,,,,,haríti,,,,,
,,,,,,,,,,,haríti,,,
,,,,,,,,,,enoheno,,,,
,,,,,,,,noheno,,,,,,
,,,,,,,,noxera,,,,,,
,,,,apeles,,,,,,,,,,
,,,,,,,,narciso,,,,,,
,,,,,,,,,,,hermes,,,
,,,,,,,,,,,hermas,,,
,,,,,,,,nereu,,,,,,
,,,,,,,,,hatetere,,,,,
,,,,,,,,,,,,,cloe,
,,,,,,,woinane,,,,,,,
,,,,,,,waji,,,,,,,
,,,,,,,,naxare,,,,,,
,,,,,,,waxare,,,,,,,
,,,,,,,wainaha,,,,,,,
,,,,,,,,,hanakore,,,,,
,,,,,,,,neraka,,,,,,
,,,,,,,,,haréti,,,,,
,,,,,,,,,,,haréti,,,
,,,,,,,,,harétiya,,,,,
,,,,,,,,niraiya,,,,,,
,,,,anjonae,,,,,,,,,,
,,,,,,,,niraeya,,,,,,
,,,,,,,,,harpa,,,,,
,,,,,,,,,,,harpa,,,
,,,,anahoka,,,,,,,,,,
,,,,,,,,nokaoki,,,,,,
,,,,acáico,,,,,,,,,,
,,,,,,,,,haferoxa,,,,,
,,,,,,,,,haxekane,,,,,
,,,,,,,,nexexe,,,,,,
,,,,,,,,,,,hárero,,,
,,,,,,,wimili,,,,,,,
,,,,,,,,,hamilako,,,,,
,,,,,,,wiyoma,,,,,,,
,,,,,,,,,haxatini,,,,,
,,,,aretas,,,,,,,,,,
,,,,,,,,,haiyaki,,,,,
,,,,,,,,,,,haiyaki,,,
,,,,agar,,,,,,,,,,
,,,,,,,,,,enerokoa,,,,
,,,,,,,,,,,hiseri,,,
,,,,,,,wiseri,,,,,,,
,,,,,,,,,,,háxako,,,
,,,,,,,,,,,,demas,,
,,,,,,,,ninfa,,,,,,
,,,,arquipo,,,,,,,,,,
,,,,,,,,,,,haenane,,,
,,,,,,,,,,,himeneu,,,
,,,,,,,,,hawénane,,,,,
,,,,,,,,,,,honoti,,,
,,,,,,,waiyolo,,,,,,,
,,,,,dalmácia,,,,,,,,,
,,,,,,,,,,,,,carpos,
,,,,,,,,,,,,,cláudia,
,,,,,,,,,,,hajiha,,,
,,,,,,,,,,,,dízimo,,
,,,,,,,,,,,híssopo,,,
,,,,,,leãonae,,,,,,,,
,,,,,,,watema,,,,,,,
,,,,,,,,,hahowene,,,,,
,,,,,,,,,hanjoxa,,,,,
,,,,,,,,,,,hanjoxa,,,
,,,,alfa,,,,,,,,,,
,,,,,,,wamolo,,,,,,,
,,,,antipas,,,,,,,,,,
,,,,aliwa,,,,,,,,,,
,,,,,,,,,,,hotero,,,
,issacar,,,,,,,,,,,,,
,,,,,,,,nasite,,,,,,
,,,,,,,,,haihoha,,,,,
,,,,,,,,,,,haihoha,,,
,,,abadom,,,,,,,,,,,
,,,,abadom,,,,,,,,,,
,,,,apolião,,,,,,,,,,
,,,,,,,,náhota,,,,,,
,,,,,,,,,hatihoha,,,,,
,isemaxa,,,,,,,,,,,,,
,,,,,,,,,,,haiho,,,
,,,,aohoma,,,,,,,,,,
,,,,,,,,,,,haolone,,,
balaxoko,,,,,,,,,,,,,,
,,,,,,,,,,,hekaha,,,
,,,,,,,,,,,hora,,,
,,,,,,,,,hatekore,,,,,
,,,,,,,,,hatyaone,,,,,
,,,,,,,,,hamijini,,,,,
