ab,a,abr,bal,kihi,avikhananava
,ao,,,,
aba,,,,,
,aa,,,,
,,,,kihija,
,aja,,,,
,ai,,,,
,ari,,,,
,ada,,,,
,,,,kihikihida,
,,,,,avikhananavakihida
,ani,,,,
,,,,kihini,
,aani,,,,
abani,,,,,
,,,,kihiki,
,aki,,,,
,,,,,avikhananavaki
,avaki,,,,
,,,,,avikhananavana
,,,,kihina,
,ana,,,,
,avi,,,,
,,abraão,,,
,,,balaão,,
abraão,,,,,
,abraão,,,,
,,,balaque,,
,ara,,,,
,ama,,,,
,aia,,,,
,aiki,,,,
,aniki,,,,
,arão,,,,
,amom,,,,
,arabo,,,,
,aka,,,,
abini,,,,,
,ahoja,,,,
,avahoja,,,,
abias,,,,,
,abias,,,,
,asa,,,,
,acaz,,,,
,ania,,,,
,arini,,,,
,ahi,,,,
,athi,,,,
,agathi,,,,
,adani,,,,
abel,,,,,
,ahara,,,,
aboni,,,,,
,aoni,,,,
abinia,,,,,
,athinia,,,,
,ajaki,,,,
,abel,,,,
abiúde,,,,,
,abiúde,,,,
,aquim,,,,
,azor,,,,
,aria,,,,
,aho,,,,
,asia,,,,
,adi,,,,
abodi,,,,,
,anana,,,,
,avani,,,,
,aha,,,,
,aaha,,,,
,anaha,,,,
,avari,,,,
,abini,,,,
abiha,,,,,
,ahiha,,,,
,afo,,,,
abania,,,,,
,akhana,,,,
,ava,,,,
,anofiki,,,,
,avini,,,,
,ahavini,,,,
,aravini,,,,
,ahaki,,,,
,ariha,,,,
,aogaki,,,,
abinini,,,,,
,aanihi,,,,
,amanihi,,,,
,asohiki,,,,
,ahojai,,,,
,aivini,,,,
,ahivini,,,,
,aviaha,,,,
,arivini,,,,
,,,,,avikhananavakia
,akia,,,,
,,,,kihikia,
,aikia,,,,
abanini,,,,,
,akarai,,,,
,akava,,,,
,anivini,,,,
,aba,,,,
,ano,,,,
abono,,,,,
,abono,,,,
,adamia,,,,
,ajana,,,,
,adija,,,,
,aharia,,,,
,ariki,,,,
,,,,kihiriki,
,airiki,,,,
abosini,,,,,
,abosini,,,,
,anania,,,,
,anava,,,,
,ajora,,,,
abii,,,,,
,athii,,,,
,afora,,,,
,apa,,,,
,,,,,avikhananavapa
,aji,,,,
abinira,,,,,
,airi,,,,
,aaniki,,,,
,ananiki,,,,
,aniaja,,,,
,aaniaja,,,,
,ahojaki,,,,
,avigaja,,,,
,amani,,,,
,anoki,,,,
,aabono,,,,
,akani,,,,
,akhama,,,,
,akadika,,,,
,amini,,,,
,ako,,,,
,anako,,,,
,ahava,,,,
,avikha,,,,
,ahojana,,,,
,anokira,,,,
,amiki,,,,
,aniani,,,,
,ahaja,,,,
,avivini,,,,
,aniha,,,,
,amonina,,,,
abiniki,,,,,
,afiniki,,,,
,aakava,,,,
,avakava,,,,
,aboni,,,,
,avaka,,,,
,ahani,,,,
,anara,,,,
,anajiri,,,,
,afojora,,,,
,avava,,,,
,ahiva,,,,
,amania,,,,
,,,,kihirihi,
,arihi,,,,
,athini,,,,
abinina,,,,,
,abinina,,,,
abosi,,,,,
,ajakosi,,,,
,avarani,,,,
,avanana,,,,
,ajoi,,,,
,aajoi,,,,
,avanava,,,,
,ahia,,,,
,amanira,,,,
,akhano,,,,
,aajo,,,,
,akajo,,,,
,aga,,,,
,abani,,,,
,avajoi,,,,
,aviga,,,,
,anani,,,,
,amanani,,,,
,araboa,,,,
abea,,,,,
,ahojaha,,,,
,arinia,,,,
,ahahavi,,,,
,ahaha,,,,
,akhani,,,,
,aakhani,,,,
,ajoina,,,,
,asohi,,,,
,aakhano,,,,
,aoniki,,,,
,amasia,,,,
,amasi,,,,
abakhia,,,,,
,abakhia,,,,
abinika,,,,,
,asafi,,,,
,aasafi,,,,
,adão,,,,
,aipohi,,,,
,ahanana,,,,
,akadija,,,,
,avakahi,,,,
abononi,,,,,
,abononi,,,,
,avihini,,,,
,avihiki,,,,
,avihihi,,,,
,akahiki,,,,
,aakhaki,,,,
,aroniki,,,,
,avigara,,,,
,anai,,,,
,asohika,,,,
,amaki,,,,
,aihaki,,,,
,arihaki,,,,
,asafini,,,,
,avihi,,,,
,athia,,,,
,ajihi,,,,
abinija,,,,,
,akana,,,,
,ajahaki,,,,
,anokiha,,,,
,avahaki,,,,
,aririhi,,,,
,avai,,,,
,ami,,,,
,ajaja,,,,
,aogaja,,,,
,,,,kihimanija,
,amanija,,,,
,athana,,,,
,ajanaki,,,,
,araba,,,,
,andré,,,,
,akaboa,,,,
,akahagi,,,,
,afa,,,,
,anaja,,,,
,amina,,,,
,avinia,,,,
,adiki,,,,
,ajoroni,,,,
,anofi,,,,
abinihi,,,,,
,adivini,,,,
,anofipa,,,,
,ahojaia,,,,
,anofija,,,,
,ahariki,,,,
,arihari,,,,
,amana,,,,
,aimana,,,,
,aharihi,,,,
,anokiki,,,,
,asohihi,,,,
,,,,,avikhananavakihari
,ahoki,,,,
,aviki,,,,
,ahojani,,,,
,ahokiki,,,,
,akanava,,,,
abaninia,,,,,
,ajoraki,,,,
abonoa,,,,,
,abonoa,,,,
,aakha,,,,
,arakha,,,,
,arara,,,,
,asivini,,,,
,ahoni,,,,
,akahihi,,,,
,anofihi,,,,
,ahahi,,,,
,akara,,,,
,aakara,,,,
,anakara,,,,
,akarani,,,,
,afani,,,,
,amonaha,,,,
,abosi,,,,
,aabosi,,,,
,abanini,,,,
,akaiba,,,,
,avinihi,,,,
,anamana,,,,
,asiki,,,,
abosiki,,,,,
,abosiki,,,,
,akadiva,,,,
,avara,,,,
,ajahana,,,,
,adahaki,,,,
abosinia,,,,,
,adava,,,,
,adaija,,,,
,anokija,,,,
,ajahaka,,,,
,arihina,,,,
,adanoki,,,,
,arakava,,,,
abiniha,,,,,
,ariniki,,,,
,amara,,,,
,akihi,,,,
,anokihi,,,,
,avana,,,,
,avarana,,,,
,adahahi,,,,
,adahani,,,,
,adahai,,,,
,ariva,,,,
,adaha,,,,
,akadi,,,,
,avakadi,,,,
,avanako,,,,
,ajavini,,,,
,adavini,,,,
,ajari,,,,
,akajari,,,,
,anakama,,,,
,ajava,,,,
,avavani,,,,
,ahoi,,,,
,akaijo,,,,
,asohipa,,,,
,avano,,,,
abaisana,,,,,
,adiriki,,,,
,avaha,,,,
,ananaki,,,,
,arija,,,,
abihiaki,,,,,
,adari,,,,
,avisoni,,,,
,agorana,,,,
,aokhaki,,,,
,amaniha,,,,
,akaraho,,,,
,akaraga,,,,
,asara,,,,
,amisi,,,,
,aihota,,,,
,aokhahi,,,,
,abiniki,,,,
,ahokina,,,,
,aradaha,,,,
,akadava,,,,
,adara,,,,
,avako,,,,
,adahana,,,,
,abodi,,,,
,avakara,,,,
,akiva,,,,
,ahiana,,,,
,avahani,,,,
,avija,,,,
,aviha,,,,
,aribani,,,,
,abinika,,,,
,avigaki,,,,
,anokho,,,,
,avajari,,,,
,avagaha,,,,
,ajihina,,,,
,ajihini,,,,
,adanona,,,,
,akaja,,,,
,anahoki,,,,
,aokha,,,,
,anokha,,,,
,avamasi,,,,
abosihi,,,,,
,abosihi,,,,
,ariathi,,,,
,adipa,,,,
,avama,,,,
,abinini,,,,
,ahapa,,,,
,avanoki,,,,
,aagahai,,,,
,asohini,,,,
,aradaki,,,,
,avihija,,,,
,aogahi,,,,
,aogara,,,,
,akoiri,,,,
,amiha,,,,
,akahaki,,,,
,akaha,,,,
,ahona,,,,
,ahariha,,,,
,anihahi,,,,
,arapa,,,,
,avigaha,,,,
,anikha,,,,
,arafia,,,,
,arajo,,,,
,aonani,,,,
,amihi,,,,
abohani,,,,,
,abohani,,,,
,avigahi,,,,
,avadina,,,,
,avijava,,,,
,avirihi,,,,
,adahari,,,,
,avithi,,,,
,avibai,,,,
,asaari,,,,
,ajihiha,,,,
,anahoja,,,,
,aririki,,,,
,ananiha,,,,
,ahapina,,,,
,avaniha,,,,
,aokhana,,,,
,ajarona,,,,
,avakani,,,,
,avanaji,,,,
,araboja,,,,
,anaima,,,,
,abiniha,,,,
,avaja,,,,
,akarona,,,,
,adarina,,,,
,akaraki,,,,
,ahapini,,,,
,adaja,,,,
,ahidaja,,,,
,akamada,,,,
,adariki,,,,
,avanofi,,,,
abosija,,,,,
,abosija,,,,
,anofira,,,,
,aokhaja,,,,
,ahapiki,,,,
,arahoni,,,,
,avagani,,,,
,ajorana,,,,
,afakia,,,,
,athina,,,,
,apitana,,,,
,aakodia,,,,
,ahajana,,,,
,akanana,,,,
,aakoja,,,,
,avabo,,,,
,avanaha,,,,
,aokhava,,,,
,afiaha,,,,
,anagaha,,,,
,ahokini,,,,
,avahoki,,,,
,aradaja,,,,
,afoha,,,,
,adosia,,,,
,avakaka,,,,
,asokoki,,,,
,arahoda,,,,
,avaraka,,,,
,abinira,,,,
,avigana,,,,
,afojana,,,,
,amoroki,,,,
,aforahi,,,,
,aforani,,,,
,athiva,,,,
,anihaja,,,,
,aoga,,,,
,arajoma,,,,
,abinija,,,,
,abinihi,,,,
,aasiama,,,,
,ajoimi,,,,
,akadisa,,,,
,avasa,,,,
,avisa,,,,
,athania,,,,
,avisaki,,,,
,asohiri,,,,
,ahovari,,,,
,aagari,,,,
,adihi,,,,
,asohija,,,,
,avavi,,,,
,avikasi,,,,
,alfeu,,,,
,avariga,,,,
,amovani,,,,
,asaraki,,,,
,ajihira,,,,
,avakana,,,,
,ajihihi,,,,
,ajoihi,,,,
,akihina,,,,
,ahâpina,,,,
,akavi,,,,
,akaiki,,,,
,aharoro,,,,
abonoi,,,,,
,abonoi,,,,
,amahija,,,,
,avania,,,,
,adaraha,,,,
abiniria,,,,,
,avisaha,,,,
,arihavi,,,,
,altar,,,,
,aviva,,,,
,abea,,,,
,augusto,,,,
,ahivaja,,,,
,amoro,,,,
,ajoisi,,,,
,aser,,,,
,amós,,,,
,admim,,,,
,arni,,,,
,ariija,,,,
,akosona,,,,
,avavai,,,,
,avanapa,,,,
,adavani,,,,
,asarani,,,,
,arihahi,,,,
,adimani,,,,
,akanara,,,,
,avadiki,,,,
,arihiva,,,,
,akoro,,,,
,avakada,,,,
,aitapia,,,,
,avavaka,,,,
,aakhahi,,,,
,akanaha,,,,
,afaki,,,,
,avinini,,,,
,aaso,,,,
,,,balaãoa,,
,,abraãoa,,,
abraãoa,,,,,
,abraãoa,,,,
,arihiki,,,,
,avigapa,,,,
,avaga,,,,
,afonana,,,,
,avigava,,,,
,aririni,,,,
,ajihiki,,,,
,athiia,,,,
,andréa,,,,
,aná,,,,
,avisami,,,,
,amovana,,,,
,anofika,,,,
,aadosi,,,,
,afodoro,,,,
,avajaha,,,,
,avakaha,,,,
,aviniva,,,,
,arihija,,,,
,avavava,,,,
,ahiava,,,,
,akojahi,,,,
,aogapa,,,,
,aragana,,,,
,avanaja,,,,
,aajoiva,,,,
,adiha,,,,
,asarana,,,,
,ahiaja,,,,
,aribavi,,,,
,ahahari,,,,
,anigahi,,,,
,anihaka,,,,
,avajo,,,,
,anás,,,,
,aloés,,,,
,arabana,,,,
,athiida,,,,
,ajanava,,,,
,areta,,,,
,arábia,,,,
,abinia,,,,
,ajorahi,,,,
abonoija,,,,,
,afana,,,,
,ananias,,,,
,adarihi,,,,
,arabani,,,,
,azoto,,,,
,adariha,,,,
,aniaki,,,,
,atália,,,,
,anamara,,,,
,akakha,,,,
,aakakha,,,,
,arihoja,,,,
,atira,,,,
,atenas,,,,
,ajihija,,,,
,acaia,,,,
,apolo,,,,
,apoloa,,,,
,anokhoi,,,,
,araoni,,,,
,aokasi,,,,
,assôs,,,,
,akarada,,,,
,ariisa,,,,
,adahava,,,,
,agripa,,,,
,ahahana,,,,
,aribada,,,,
,akahoja,,,,
,afona,,,,
,akarako,,,,
,afopa,,,,
,afarihi,,,,
abononia,,,,,
,ajihika,,,,
,arakoki,,,,
,asafia,,,,
,adãoa,,,,
,ahokika,,,,
,arihihi,,,,
,arimana,,,,
,arideus,,,,
,ahoroa,,,,
,apeles,,,,
,avihika,,,,
,avakabo,,,,
,avakavi,,,,
,abania,,,,
,arakhai,,,,
,adodoki,,,,
,adãoija,,,,
,acaico,,,,
,aniahi,,,,
,avifini,,,,
,afoki,,,,
,aretas,,,,
,arihika,,,,
,avikana,,,,
,agar,,,,
,avarava,,,,
,avakaja,,,,
,avadano,,,,
,asakaki,,,,
,avarajo,,,,
,abiha,,,,
,akiro,,,,
,adodoni,,,,
,ahabari,,,,
abihiahi,,,,,
,akavai,,,,
,amihava,,,,
,avaani,,,,
,arquipo,,,,
,asaraha,,,,
,akahiva,,,,
,amosini,,,,
,arca,,,,
,amovai,,,,
,anaani,,,,
,arapaki,,,,
,avakasa,,,,
,avahida,,,,
,akaani,,,,
,avakhai,,,,
,antipas,,,,
,abii,,,,
,akoroa,,,,
abadom,,,,,
,abadom,,,,
,apolião,,,,
,aráboja,,,,
,avida,,,,
,athiira,,,,
