ré,coro,da,d,wa,robzépa,ra,be,w,robzép,r,rataz,rata,cri,ucri,rat,cr,ucr
,,,du,,,,,,,,,,,,,,
,,,,,,,,,,ru,,,,,,,
,,dazu,,,,,,,,,,,,,,,
,,,,wazu,,,,,,,,,,,,,
,,dahu,,,,,,,,,,,,,,,
,,,,wahu,,,,,,,,,,,,,
,,,,,,,,,,,,,cristuhu,,,,
,,,,,,,,,,,,,,ucristuhu,,,
,,,,,,,,,,,,,,,,cristuhu,
,,,,,,,,,,,,,,,,,ucristuhu
réi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ratai,,,,,
,,,,wai,,,,,,,,,,,,,
,,,,,,,,wi,,,,,,,,,
,,,,,,rai,,,,,,,,,,,
,,,,,,,,,,ri,,,,,,,
,,dai,,,,,,,,,,,,,,,
,,,di,,,,,,,,,,,,,,
,,,da,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,rata,,
,,,,,,,,wa,,,,,,,,,
,,,,,,,,,,ra,,,,,,,
,,,,,,rata,,,,,,,,,,,
,,,,,robzépata,,,,,,,,,,,,
,,,,wata,,,,,,,,,,,,,
,,,,,,,,,,rata,,,,,,,
,,,,,,,,,robzépata,,,,,,,,
,,,,,,,,wata,,,,,,,,,
,,,,wari,,,,,,,,,,,,,
,,,,,,,,,,rã,,,,,,,
,,,,,,,,,,,ratazéã,,,,,,
,,,,,,,,,,,,ratazéã,,,,,
,,,,,,,,,,,,,,,ratazéã,,
,,,,,,ratazéã,,,,,,,,,,,
,,,,,,,,,,ratazéã,,,,,,,
,,,,wab,,,,,,,,,,,,,
,,,,,,,,,,,,ratab,,,,,
,,,,,,,,,,rob,,,,,,,
,,,,,,,,,,ré,,,,,,,
,,,,,,,,,,,ratazé,,,,,,
,,daré,,,,,,,,,,,,,,,
,,,,waré,,,,,,,,,,,,,
,,,,,,razé,,,,,,,,,,,
,,,,wazé,,,,,,,,,,,,,
,,,,,,,,,,,,ratazé,,,,,
rézé,,,,,,,,,,,,,,,,,
,,,,,,,,,,razé,,,,,,,
,,,,,,,,wazé,,,,,,,,,
,,,,,,,,,,,,,,,ratazé,,
,,,,watazé,,,,,,,,,,,,,
,,,,,robzépatazé,,,,,,,,,,,,
,,,,,,ratazé,,,,,,,,,,,
,,,,,,,betazé,,,,,,,,,,
,,,,,,,,watazé,,,,,,,,,
,,,,,,,,,robzépatazé,,,,,,,,
,,,,,,,,,,ratazé,,,,,,,
,,,,,,,,,,,,ratahi,,,,,
,,,,wahi,,,,,,,,,,,,,
,,dahi,,,,,,,,,,,,,,,
réwihi,,,,,,,,,,,,,,,,,
,corowihi,,,,,,,,,,,,,,,,
,,dawihi,,,,,,,,,,,,,,,
,,,dawihi,,,,,,,,,,,,,,
,,dadu,,,,,,,,,,,,,,,
,,,,wadu,,,,,,,,,,,,,
,,,,,,,,,,rudu,,,,,,,
,,,,wahudu,,,,,,,,,,,,,
,,,duré,,,,,,,,,,,,,,
,,,,wara,,,,,,,,,,,,,
,,,,wama,,,,,,,,,,,,,
,,dama,,,,,,,,,,,,,,,
,,,,,,,,wama,,,,,,,,,
,,,dama,,,,,,,,,,,,,,
,,,,wati,,,,,,,,,,,,,
,,,,,,,,wati,,,,,,,,,
,,,,,,,,,,ro,,,,,,,
,,,,,,,,,,roho,,,,,,,
,,,,wada,,,,,,,,,,,,,
,,,,,,rada,,,,,,,,,,,
,,,,,robzépada,,,,,,,,,,,,
,,,,wawã,,,,,,,,,,,,,
,,,,,,,,wawã,,,,,,,,,
,,,,,,,,we,,,,,,,,,
,,,,,,,,,,re,,,,,,,
,,,,wahuré,,,,,,,,,,,,,
,,,,,,,,wahuré,,,,,,,,,
,,dasi,,,,,,,,,,,,,,,
,,,,,,rasi,,,,,,,,,,,
,,,,wasi,,,,,,,,,,,,,
rési,,,,,,,,,,,,,,,,,
,,,,,,,,,,risi,,,,,,,
,,,,,,,,wisi,,,,,,,,,
,,,,wazi,,,,,,,,,,,,,
,,,,,,,,,,rezi,,,,,,,
,,,,warõ,,,,,,,,,,,,,
,,,,wairõ,,,,,,,,,,,,,
,,dadihi,,,,,,,,,,,,,,,
,,,,,,,,,,ruti,,,,,,,
,,,,wasé,,,,,,,,,,,,,
,,,,,,,,,,,,ratare,,,,,
,,,,ware,,,,,,,,,,,,,
,,,,,,rare,,,,,,,,,,,
,,dare,,,,,,,,,,,,,,,
,,,,,,,bere,,,,,,,,,,
,,,,wawi,,,,,,,,,,,,,
,,dawi,,,,,,,,,,,,,,,
réwi,,,,,,,,,,,,,,,,,
,,,,,,,,wawi,,,,,,,,,
,,,dawi,,,,,,,,,,,,,,
,,,,,,,,,,râ,,,,,,,
,,,dâ,,,,,,,,,,,,,,
,,daro,,,,,,,,,,,,,,,
,,,,waro,,,,,,,,,,,,,
,,,,,,,,,,roma,,,,,,,
,,,,,,,,,,robu,,,,,,,
,,,,waza,,,,,,,,,,,,,
,,daza,,,,,,,,,,,,,,,
,,,,wapa,,,,,,,,,,,,,
,,dapa,,,,,,,,,,,,,,,
,,,,,,,,wapa,,,,,,,,,
,,,dapa,,,,,,,,,,,,,,
,,,,,,,,wada,,,,,,,,,
,,,,,,,,,,rada,,,,,,,
,,,,,,,,,robzépada,,,,,,,,
,,,dasi,,,,,,,,,,,,,,
,,,,,,,,,,rasi,,,,,,,
,,,,,,,,wasi,,,,,,,,,
,,,,,,,,wasé,,,,,,,,,
,,,,wame,,,,,,,,,,,,,
,,dame,,,,,,,,,,,,,,,
,,,,,,,,,,roi,,,,,,,
,,,,wano,,,,,,,,,,,,,
,,,,wato,,,,,,,,,,,,,
,,dato,,,,,,,,,,,,,,,
,,,,wapoto,,,,,,,,,,,,,
,,dapoto,,,,,,,,,,,,,,,
,,,,wamhã,,,,,,,,,,,,,
,,,,,,,,,,,,ratamhã,,,,,
,,,,,,,,,,,,,,,ratamhã,,
,,,,,,,,wamhã,,,,,,,,,
,,,,,,,,,,roti,,,,,,,
,,,,,,,,,,ruzé,,,,,,,
,,,,,,,,,,,,,,ucristu,,,
,,,,,,,,,,,,,cristu,,,,
,,,,,,,,,,,,,,,,,ucristu
,,,,,,,,,,,,,,,,cristu,
,,,,wana,,,,,,,,,,,,,
,,dana,,,,,,,,,,,,,,,
,,,,,,,,wana,,,,,,,,,
,,,dana,,,,,,,,,,,,,,
,,,,wamana,,,,,,,,,,,,,
,,damana,,,,,,,,,,,,,,,
,,,,wanho,,,,,,,,,,,,,
,,danho,,,,,,,,,,,,,,,
,,,,,,,,wanho,,,,,,,,,
,,,danho,,,,,,,,,,,,,,
,,,dui,,,,,,,,,,,,,,
,,,,,,,,,,rui,,,,,,,
,,,,,,,,,,reptui,,,,,,,
,,,,wane,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ratahi,,
,,,dahi,,,,,,,,,,,,,,
,,,,,,,,wahi,,,,,,,,,
,,daba,,,,,,,,,,,,,,,
,,,,wawimhã,,,,,,,,,,,,,
,,,,,,,,wawimhã,,,,,,,,,
,,,,,,,,,,,ratazéb,,,,,,
rém,,,,,,,,,,,,,,,,,
,,,,wam,,,,,,,,,,,,,
,,,,,,,,,,rém,,,,,,,
,,,,,,,,,,,ratazém,,,,,,
,,,,,,razéb,,,,,,,,,,,
,,,,,,,,,,,,ratazéb,,,,,
rézéb,,,,,,,,,,,,,,,,,
,,,,wazéb,,,,,,,,,,,,,
,,datozéb,,,,,,,,,,,,,,,
,,datozé,,,,,,,,,,,,,,,
,,,,,,,,,,rutu,,,,,,,
,,,,wasutu,,,,,,,,,,,,,
,,,,wapisutu,,,,,,,,,,,,,
,,dapisutu,,,,,,,,,,,,,,,
,,,,,,,,wane,,,,,,,,,
,,,,,,,,,,rere,,,,,,,
,,dani,,,,,,,,,,,,,,,
,,,dani,,,,,,,,,,,,,,
,,,,wasã,,,,,,,,,,,,,
,,,,,,,,wasã,,,,,,,,,
,,,,,,,,,,rese,,,,,,,
,,,,,,,,wari,,,,,,,,,
,,,,wasa,,,,,,,,,,,,,
,,dasa,,,,,,,,,,,,,,,
,,,,,,,,,,rosa,,,,,,,
,,,,wasété,,,,,,,,,,,,,
,,,,,,,,wasété,,,,,,,,,
,,,,wairi,,,,,,,,,,,,,
,,dasiwi,,,,,,,,,,,,,,,
,,,,wasiwi,,,,,,,,,,,,,
,,,,,,,,wasiwi,,,,,,,,,
,,,dasiwi,,,,,,,,,,,,,,
,,,,waihu,,,,,,,,,,,,,
,,,,,,,,waihu,,,,,,,,,
,,dawa,,,,,,,,,,,,,,,
,,,,wawa,,,,,,,,,,,,,
,,,,,,,,wib,,,,,,,,,
,,,,wanhib,,,,,,,,,,,,,
,,danhib,,,,,,,,,,,,,,,
,,,danhib,,,,,,,,,,,,,,
,,,,,,,,wanhib,,,,,,,,,
,,,duri,,,,,,,,,,,,,,
,,,,,,,,,,romhuri,,,,,,,
,,,,wahâi,,,,,,,,,,,,,
,,,,,,,,,,rowi,,,,,,,
,,,,wasina,,,,,,,,,,,,,
,,dasina,,,,,,,,,,,,,,,
,,dahâtâ,,,,,,,,,,,,,,,
,,,,wahâtâ,,,,,,,,,,,,,
,,damro,,,,,,,,,,,,,,,
,,,,wamro,,,,,,,,,,,,,
,,,,wami,,,,,,,,,,,,,
,corosu,,,,,,,,,,,,,,,,
,,,,wasu,,,,,,,,,,,,,
,,,,,,,,wasu,,,,,,,,,
,,,,wawe,,,,,,,,,,,,,
,,dawe,,,,,,,,,,,,,,,
,,,,waptu,,,,,,,,,,,,,
,,,,,,,,,,reptu,,,,,,,
,,,,wahâ,,,,,,,,,,,,,
,,dahâ,,,,,,,,,,,,,,,
,,,,,,,,wahâ,,,,,,,,,
,,,dahâ,,,,,,,,,,,,,,
,,,duréihã,,,,,,,,,,,,,,
,,,dawa,,,,,,,,,,,,,,
,,,,,,,,wawa,,,,,,,,,
,,dazadawa,,,,,,,,,,,,,,,
,,,,wazadawa,,,,,,,,,,,,,
,,,,,,,,wai,,,,,,,,,
,,,,,,,,,,rai,,,,,,,
,,,,,,,,,,,,,,,ratai,,
,,,dai,,,,,,,,,,,,,,
rézém,,,,,,,,,,,,,,,,,
,,,,,,razém,,,,,,,,,,,
,,,,,,,,,,,,ratazém,,,,,
,,,,,,,,wami,,,,,,,,,
,,damrami,,,,,,,,,,,,,,,
,,,,wamrami,,,,,,,,,,,,,
,,,,waimrami,,,,,,,,,,,,,
,,,,,,,,,,rãrã,,,,,,,
,,,,waptãrã,,,,,,,,,,,,,
,,,,,,,,waptãrã,,,,,,,,,
,,,,wairé,,,,,,,,,,,,,
,,,,wasiré,,,,,,,,,,,,,
,,dasiré,,,,,,,,,,,,,,,
,,,dasiré,,,,,,,,,,,,,,
,,,,,,,,wasiré,,,,,,,,,
,,,,wawaihu,,,,,,,,,,,,,
,,dawaihu,,,,,,,,,,,,,,,
,,,,,,,,,,rowaihu,,,,,,,
,,,,waptã,,,,,,,,,,,,,
,,,,,,,,waptã,,,,,,,,,
,,,daré,,,,,,,,,,,,,,
,,,,,,,,waré,,,,,,,,,
,,,,wadâ,,,,,,,,,,,,,
,,dadâ,,,,,,,,,,,,,,,
,,,dadâ,,,,,,,,,,,,,,
,,,,,,,,wadâ,,,,,,,,,
,,,,,,,,,,rézé,,,,,,,
,,,,,,,,,,reza,,,,,,,
,,,,wapti,,,,,,,,,,,,,
,,danhipti,,,,,,,,,,,,,,,
,,,dodi,,,,,,,,,,,,,,
,,,,,,,,,,rodi,,,,,,,
,,,,wap,,,,,,,,,,,,,
,,,,,,,,,,,,ratap,,,,,
,,,,,,,,,,rip,,,,,,,
,,,,wahutu,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ratare,,
,,,,,,,,,,rare,,,,,,,
,,,,,,,,ware,,,,,,,,,
,,,dare,,,,,,,,,,,,,,
,,dawata,,,,,,,,,,,,,,,
,,,,wawata,,,,,,,,,,,,,
,,,,,,,,wawata,,,,,,,,,
,,,dawata,,,,,,,,,,,,,,
,,,,wapari,,,,,,,,,,,,,
,,,,,,,,wapari,,,,,,,,,
,,,,,,,,wahutu,,,,,,,,,
,,,dame,,,,,,,,,,,,,,
,,,,,,,,wame,,,,,,,,,
,,,,wairo,,,,,,,,,,,,,
,,,dârâ,,,,,,,,,,,,,,
,,,,wahârâ,,,,,,,,,,,,,
,,dahârâ,,,,,,,,,,,,,,,
,,,,watobro,,,,,,,,,,,,,
,,,,,,,,watobro,,,,,,,,,
,,,,,,,,,,réi,,,,,,,
,,,,wape,,,,,,,,,,,,,
,,dape,,,,,,,,,,,,,,,
,,,,wapé,,,,,,,,,,,,,
,,,,wapâ,,,,,,,,,,,,,
,,dazabui,,,,,,,,,,,,,,,
,,,,warob,,,,,,,,,,,,,
,,darob,,,,,,,,,,,,,,,
,,,,wairob,,,,,,,,,,,,,
,,damori,,,,,,,,,,,,,,,
,,,,,,razâ,,,,,,,,,,,
,,,,,,,,,,razâ,,,,,,,
,,,,,,,,,,razém,,,,,,,
,,,,,,,,,,,,,,,ratazém,,
,,,,warazém,,,,,,,,,,,,,
,,,daba,,,,,,,,,,,,,,
,,,,,,,,wara,,,,,,,,,
,,,,wasisi,,,,,,,,,,,,,
,,,,,,,,,,rãtitõ,,,,,,,
,,,,,,,,,,ridawa,,,,,,,
,,,,,,,,,,rézéb,,,,,,,
,,,,wapézéb,,,,,,,,,,,,,
,,,,,,,,wapézéb,,,,,,,,,
,,,dub,,,,,,,,,,,,,,
,,daprub,,,,,,,,,,,,,,,
,,,,waprub,,,,,,,,,,,,,
,,,,waze,,,,,,,,,,,,,
,,,,,,,,waze,,,,,,,,,
,,,,,,,,wawe,,,,,,,,,
,,,dawe,,,,,,,,,,,,,,
,,,,,,,,,,rosawe,,,,,,,
,,dawasu,,,,,,,,,,,,,,,
,,,,wawasu,,,,,,,,,,,,,
,,,,,,,,,,rowasu,,,,,,,
,,,,wapré,,,,,,,,,,,,,
,,danhopré,,,,,,,,,,,,,,,
,,,,wanhopré,,,,,,,,,,,,,
,,,,,,,,wasisi,,,,,,,,,
,,dahâiba,,,,,,,,,,,,,,,
,,,,wahâiba,,,,,,,,,,,,,
,,dazari,,,,,,,,,,,,,,,
,,,,wazari,,,,,,,,,,,,,
,,,dazu,,,,,,,,,,,,,,
,,,,,,,,wazu,,,,,,,,,
,,,,wamama,,,,,,,,,,,,,
,,damama,,,,,,,,,,,,,,,
,,,,,,,,,,rowa,,,,,,,
,,,dahu,,,,,,,,,,,,,,
,,,,,,,,wahu,,,,,,,,,
,,,,,,,,,,reb,,,,,,,
,,,,,,,bereza,,,,,,,,,,
,,darireza,,,,,,,,,,,,,,,
,,,,waneb,,,,,,,,,,,,,
,,,,wasima,,,,,,,,,,,,,
,,dasima,,,,,,,,,,,,,,,
,,,,,,,,wasima,,,,,,,,,
,,,dasima,,,,,,,,,,,,,,
,,,,wahub,,,,,,,,,,,,,
,,,,,,,,wahub,,,,,,,,,
,,,,,,,,wahârâ,,,,,,,,,
,,,dahârâ,,,,,,,,,,,,,,
,,,,,,,,,,romhâ,,,,,,,
,,,,,,,,,,riti,,,,,,,
,,,,,,,,,,rom,,,,,,,
,,,,,,,,,,ropi,,,,,,,
,,,,,,,,waza,,,,,,,,,
,,,daza,,,,,,,,,,,,,,
,,dasito,,,,,,,,,,,,,,,
,,,dasito,,,,,,,,,,,,,,
,,,daro,,,,,,,,,,,,,,
,,,,,,,,waro,,,,,,,,,
,,dawasété,,,,,,,,,,,,,,,
,,,,wawasété,,,,,,,,,,,,,
,,dasiwe,,,,,,,,,,,,,,,
,,,,wasiwe,,,,,,,,,,,,,
,,,dasiwe,,,,,,,,,,,,,,
,,,,,,,,wasiwe,,,,,,,,,
,,,,,,,,,,râwi,,,,,,,
,,,,wabzuri,,,,,,,,,,,,,
,,,,,,,,wabzuri,,,,,,,,,
,,,,wanomro,,,,,,,,,,,,,
,,danomro,,,,,,,,,,,,,,,
,,dahâzé,,,,,,,,,,,,,,,
,,,,wahâzé,,,,,,,,,,,,,
,,,,wasisõ,,,,,,,,,,,,,
,,dasisõ,,,,,,,,,,,,,,,
,,,,wasédé,,,,,,,,,,,,,
,,,,,,,,wasédé,,,,,,,,,
,,dawasédé,,,,,,,,,,,,,,,
,,,,wawasédé,,,,,,,,,,,,,
,,,,,,,,wedepa,,,,,,,,,
,,,,warizéb,,,,,,,,,,,,,
,,,,,,,,wede,,,,,,,,,
,,,,,,,,wãi,,,,,,,,,
,,,,,,,,,,rãi,,,,,,,
,,,,,,rahâri,,,,,,,,,,,
,,,,wanhamra,,,,,,,,,,,,,
,,danhamra,,,,,,,,,,,,,,,
,,,,,,,,,,rei,,,,,,,
,,,,,,,,wei,,,,,,,,,
,,,,wapure,,,,,,,,,,,,,
,,,,,,,,wapure,,,,,,,,,
,,,,wapsi,,,,,,,,,,,,,
,,,,,,,,wapsi,,,,,,,,,
,,,,wapo,,,,,,,,,,,,,
,,dapo,,,,,,,,,,,,,,,
,,,,waipo,,,,,,,,,,,,,
,,,,,,,,,,ruru,,,,,,,
,,,,,,,,warizéb,,,,,,,,,
,,,,waibu,,,,,,,,,,,,,
,,,,wapire,,,,,,,,,,,,,
,,dapire,,,,,,,,,,,,,,,
,,,,,,,,,,ruzéb,,,,,,,
,,,dasina,,,,,,,,,,,,,,
,,,,,,,,wasina,,,,,,,,,
,,,,,,,,wab,,,,,,,,,
,,,,,,,,,,,,,,,ratab,,
,,,,wapu,,,,,,,,,,,,,
,,,,,,,,wapu,,,,,,,,,
,,,,,,,,wasa,,,,,,,,,
,,,dasa,,,,,,,,,,,,,,
,,date,,,,,,,,,,,,,,,
,,,,wate,,,,,,,,,,,,,
,,,,,,,,,,rãihâ,,,,,,,
,,,,wasite,,,,,,,,,,,,,
,,dasite,,,,,,,,,,,,,,,
,,,,,,,,wasite,,,,,,,,,
,,,dasite,,,,,,,,,,,,,,
,,dapara,,,,,,,,,,,,,,,
,,,,wapara,,,,,,,,,,,,,
,,datob,,,,,,,,,,,,,,,
,,,,watob,,,,,,,,,,,,,
,,,,waptob,,,,,,,,,,,,,
,,,,,,,,waptob,,,,,,,,,
,,,,,,,,,,rowe,,,,,,,
,,,dapoto,,,,,,,,,,,,,,
,,,,,,,,wapoto,,,,,,,,,
,,,,wamri,,,,,,,,,,,,,
,,,,wawãi,,,,,,,,,,,,,
,,,,,,,,wawãi,,,,,,,,,
,,,,waibui,,,,,,,,,,,,,
,,,,,,,,waibui,,,,,,,,,
,,dawaibui,,,,,,,,,,,,,,,
,,,,wawaibui,,,,,,,,,,,,,
,,,,,,,,,,ry,,,,,,,
,,,,wanari,,,,,,,,,,,,,
,,,,,,,,,,rutuzé,,,,,,,
,,,dahâzé,,,,,,,,,,,,,,
,,,,,,,,wahâzé,,,,,,,,,
,,dapese,,,,,,,,,,,,,,,
,,,,wapese,,,,,,,,,,,,,
,,,,,,,,,,rezém,,,,,,,
,,,,,,,,,,ropé,,,,,,,
,,,,wasari,,,,,,,,,,,,,
,,,,,,,,wasari,,,,,,,,,
,,,,wamnari,,,,,,,,,,,,,
,,,,,,,,wamnari,,,,,,,,,
,,,dahâiba,,,,,,,,,,,,,,
,,,,,,,,wahâiba,,,,,,,,,
,,,,,,,,wam,,,,,,,,,
,,,,wapto,,,,,,,,,,,,,
,,,,,,,,wapto,,,,,,,,,
,,,danomro,,,,,,,,,,,,,,
,,,,,,,,wanomro,,,,,,,,,
,,datõmo,,,,,,,,,,,,,,,
,,,,watõmo,,,,,,,,,,,,,
,,,,watoi,,,,,,,,,,,,,
,,datoi,,,,,,,,,,,,,,,
,,dasai,,,,,,,,,,,,,,,
,,,,wasai,,,,,,,,,,,,,
,,,dasai,,,,,,,,,,,,,,
,,,,,,,,wasai,,,,,,,,,
,,,dapara,,,,,,,,,,,,,,
,,,,,,,,wapara,,,,,,,,,
,,,,,,,,,,rahâri,,,,,,,
,,dasimani,,,,,,,,,,,,,,,
,,,,,,,,,,rinho,,,,,,,
,,,,,,,,warazém,,,,,,,,,
,,,,,,,,,,rési,,,,,,,
,,dazazé,,,,,,,,,,,,,,,
,,,dazazé,,,,,,,,,,,,,,
,,,,wapte,,,,,,,,,,,,,
,,,,,,,,wapte,,,,,,,,,
,,,,,,,,wamama,,,,,,,,,
,,,damama,,,,,,,,,,,,,,
,,,,,,,besada,,,,,,,,,,
,,dasisada,,,,,,,,,,,,,,,
,,,,wasisada,,,,,,,,,,,,,
,,,,wanhiti,,,,,,,,,,,,,
,,danhiti,,,,,,,,,,,,,,,
,,,,,,,,wanhiti,,,,,,,,,
,,,danhiti,,,,,,,,,,,,,,
,,,,wairébé,,,,,,,,,,,,,
,,,,,,,,wairébé,,,,,,,,,
,,,,,,,,,,rizé,,,,,,,
,,,,,,,,,,rotizé,,,,,,,
,,,dawaihu,,,,,,,,,,,,,,
,,,,,,,,wawaihu,,,,,,,,,
,,dapipa,,,,,,,,,,,,,,,
,,,,,,,,,,ropipa,,,,,,,
,,,,,,,,wedeza,,,,,,,,,
,,,,warizé,,,,,,,,,,,,,
,,,,wamrizé,,,,,,,,,,,,,
,,dasisô,,,,,,,,,,,,,,,
,,dasiwasu,,,,,,,,,,,,,,,
,,,,wasiwasu,,,,,,,,,,,,,
,,,,wasiwadi,,,,,,,,,,,,,
,,dasiwadi,,,,,,,,,,,,,,,
,,,,wazazei,,,,,,,,,,,,,
,,dazazei,,,,,,,,,,,,,,,
,,,dazazei,,,,,,,,,,,,,,
,,,,,,,,wazazei,,,,,,,,,
,,,damrami,,,,,,,,,,,,,,
,,,,,,,,wamrami,,,,,,,,,
,,,,,,,,,,razéb,,,,,,,
,,,,,,,,,,,,,,,ratazéb,,
,,,,,,,,wazéb,,,,,,,,,
,,dazazéb,,,,,,,,,,,,,,,
,,,dazazéb,,,,,,,,,,,,,,
,,danhere,,,,,,,,,,,,,,,
,,,danhere,,,,,,,,,,,,,,
,,,,,,,,,,rãmi,,,,,,,
,,,,,,,,,,rãsutu,,,,,,,
,,,,,,,,wamro,,,,,,,,,
,,,damro,,,,,,,,,,,,,,
,,,,,,,,,,rotizém,,,,,,,
,,dasisiti,,,,,,,,,,,,,,,
,,dawada,,,,,,,,,,,,,,,
,,,,wawada,,,,,,,,,,,,,
,,,,,,,,watõmo,,,,,,,,,
,,,datõmo,,,,,,,,,,,,,,
,,,,wawab,,,,,,,,,,,,,
,,,,,,,,waprub,,,,,,,,,
,,,daprub,,,,,,,,,,,,,,
,,,,,,,,,,rãmimhã,,,,,,,
,,dawapte,,,,,,,,,,,,,,,
,,,,,,,,,,ruzém,,,,,,,
,,,,wamari,,,,,,,,,,,,,
,,,,wawapari,,,,,,,,,,,,,
,,dawapari,,,,,,,,,,,,,,,
,,,,wamreme,,,,,,,,,,,,,
,,damreme,,,,,,,,,,,,,,,
,,,,wazawi,,,,,,,,,,,,,
,,dazawi,,,,,,,,,,,,,,,
,,,,warazé,,,,,,,,,,,,,
,,,dazawi,,,,,,,,,,,,,,
,,,,,,,,wazawi,,,,,,,,,
,,,,,,,,wasisõ,,,,,,,,,
,,,dasisõ,,,,,,,,,,,,,,
,,,,waptâ,,,,,,,,,,,,,
,,,,,,,,waptâ,,,,,,,,,
,,,,,,,,,,rowaptâ,,,,,,,
,,dawasi,,,,,,,,,,,,,,,
,,,,,,,,,,rowapte,,,,,,,
,,dawari,,,,,,,,,,,,,,,
,,,,,,,,wahâi,,,,,,,,,
,,,,,,,,,,remhã,,,,,,,
,,,,,,,,wato,,,,,,,,,
,,,dato,,,,,,,,,,,,,,
,,,datob,,,,,,,,,,,,,,
,,,,,,,,watob,,,,,,,,,
,,,,,,,,,,robra,,,,,,,
,,,dahâtâ,,,,,,,,,,,,,,
,,,,,,,,wahâtâ,,,,,,,,,
,,,,wasazé,,,,,,,,,,,,,
,,dasazé,,,,,,,,,,,,,,,
,,dazazém,,,,,,,,,,,,,,,
,,,,,,,,wasazé,,,,,,,,,
,,,dasazé,,,,,,,,,,,,,,
,,,,,,,,,,robzuri,,,,,,,
,,,,,,,,,,rãihâri,,,,,,,
,,,,,,,,,,robza,,,,,,,
,,,,wazâri,,,,,,,,,,,,,
,,,,,,razâri,,,,,,,,,,,
,,,,,,,,wazâri,,,,,,,,,
,,,,,,,,,,razâri,,,,,,,
,,,,wabre,,,,,,,,,,,,,
,,,,wazere,,,,,,,,,,,,,
,,,,,,,,wazere,,,,,,,,,
,,,,wapru,,,,,,,,,,,,,
,,,,,,,,,,ropru,,,,,,,
,,,,wapsã,,,,,,,,,,,,,
,,,,,,,,wapsã,,,,,,,,,
,,dazô,,,,,,,,,,,,,,,
,,,,wazô,,,,,,,,,,,,,
,,,dazô,,,,,,,,,,,,,,
,,,,,,,,wazô,,,,,,,,,
,,dahâzu,,,,,,,,,,,,,,,
,,,dahâzu,,,,,,,,,,,,,,
,,,,wabzéré,,,,,,,,,,,,,
,,,,,,,,wabzéré,,,,,,,,,
,,,,wawede,,,,,,,,,,,,,
,,dawede,,,,,,,,,,,,,,,
,,,,,,,,,,rowede,,,,,,,
,,,,,,,,,,ropsi,,,,,,,
,,,,wawip,,,,,,,,,,,,,
,,,,,,,,,,romanu,,,,,,,
,,,,wapéi,,,,,,,,,,,,,
,,,,,,,,wapéi,,,,,,,,,
,,darési,,,,,,,,,,,,,,,
,,,,wazatõri,,,,,,,,,,,,,
,,dazatõri,,,,,,,,,,,,,,,
,,,,wabzu,,,,,,,,,,,,,
,,,,,,,,wabzu,,,,,,,,,
,,,,wasihutu,,,,,,,,,,,,,
,,dasihutu,,,,,,,,,,,,,,,
,,,,wasitete,,,,,,,,,,,,,
,,,,,,,,wahudu,,,,,,,,,
,,,,,,,,waibu,,,,,,,,,
,,,,,,,,wate,,,,,,,,,
,,,date,,,,,,,,,,,,,,
,,,,,,,,,,roptob,,,,,,,
,,dapahi,,,,,,,,,,,,,,,
,,,,wapahi,,,,,,,,,,,,,
,,dadara,,,,,,,,,,,,,,,
,,,dadara,,,,,,,,,,,,,,
,,dapãri,,,,,,,,,,,,,,,
,,,,wapãri,,,,,,,,,,,,,
,,dapra,,,,,,,,,,,,,,,
,,,,,,,,,,rãsipra,,,,,,,
,,darom,,,,,,,,,,,,,,,
,,,,warom,,,,,,,,,,,,,
,,,darom,,,,,,,,,,,,,,
,,,,,,,,warom,,,,,,,,,
,,,,,,,,,,robzei,,,,,,,
,,,,,,,,warizé,,,,,,,,,
,,,,,,,,wape,,,,,,,,,
